                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.42045,                0.27418,                0.85679,                0.99957,                0.97386,                0.99017,                0.91526,                 0.3971,                0.23786,                0.84933,               0.000614,               0.000614,               0.000614
                     38,                0.45077,                0.28186,                0.87457,                0.99958,                0.97386,                0.98738,                0.90771,                0.40082,                0.25624,                0.85061,              0.0005744,              0.0005744,              0.0005744
                     39,                0.43812,                0.27115,                0.87373,                0.99962,                0.97386,                0.98838,                0.91849,                0.39419,                0.23499,                0.84921,              0.0005348,              0.0005348,              0.0005348
                     40,                0.42793,                0.26608,                0.87102,                0.99958,                0.97386,                0.99049,                0.92228,                 0.3933,                0.22859,                 0.8461,              0.0004952,              0.0004952,              0.0004952
                     41,                0.39706,                0.23824,                0.82978,                      1,                0.97992,                 0.9903,                0.91383,                 0.3981,                0.24267,                0.83675,              0.0004556,              0.0004556,              0.0004556
                     42,                0.41519,                0.24579,                0.83673,                 0.9995,                0.97386,                0.98953,                0.91948,                0.40745,                  0.246,                 0.8422,               0.000416,               0.000416,               0.000416
                     43,                0.41046,                0.24159,                0.82932,                 0.9995,                0.97386,                0.99034,                0.90265,                0.41171,                0.23938,                 0.8482,              0.0003764,              0.0003764,              0.0003764
                     44,                0.40803,                0.23961,                0.83925,                0.99957,                0.97386,                0.98915,                0.91366,                0.40465,                0.23311,                0.84264,              0.0003368,              0.0003368,              0.0003368
                     45,                0.39155,                0.23392,                0.84135,                0.99959,                0.97386,                0.98976,                0.90782,                0.41483,                0.23276,                0.84862,              0.0002972,              0.0002972,              0.0002972
                     46,                 0.3887,                 0.2286,                0.83592,                      1,                0.97996,                 0.9908,                0.92033,                0.40442,                0.23828,                0.84057,              0.0002576,              0.0002576,              0.0002576
                     47,                0.39823,                0.22858,                0.82646,                0.99957,                0.97386,                0.99041,                0.91005,                0.40706,                0.22854,                0.84273,               0.000218,               0.000218,               0.000218
                     48,                0.37797,                0.23153,                0.82482,                0.99959,                0.97386,                0.98872,                0.90763,                0.39169,                0.22673,                 0.8364,              0.0001784,              0.0001784,              0.0001784
                     49,                0.37713,                0.22327,                0.82648,                0.99959,                0.97386,                0.98936,                0.91455,                 0.3794,                0.21229,                0.83504,              0.0001388,              0.0001388,              0.0001388
                     50,                0.36544,                0.21092,                0.82652,                0.99959,                0.97386,                0.99022,                0.92223,                 0.3772,                0.20553,                0.83451,               9.92e-05,               9.92e-05,               9.92e-05
