                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                  0.338,                0.24977,                0.84625,                0.99933,                      1,                  0.995,                 0.9668,                0.28457,                0.20093,                0.78154,               0.000614,               0.000614,               0.000614
                     38,                0.32555,                0.25292,                0.84218,                0.99936,                      1,                  0.995,                0.95676,                0.30754,                0.21337,                0.78764,              0.0005744,              0.0005744,              0.0005744
                     39,                0.32871,                0.24278,                0.84182,                 0.9994,                      1,                  0.995,                0.96531,                0.31294,                0.21475,                0.78962,              0.0005348,              0.0005348,              0.0005348
                     40,                0.32127,                0.23401,                0.83917,                0.99938,                      1,                  0.995,                0.96088,                0.31367,                0.21234,                0.79004,              0.0004952,              0.0004952,              0.0004952
                     41,                0.28059,                0.21826,                0.78565,                0.99935,                      1,                  0.995,                0.96128,                0.30103,                 0.2095,                0.78973,              0.0004556,              0.0004556,              0.0004556
                     42,                0.28885,                0.21823,                0.78879,                0.99937,                      1,                  0.995,                0.97316,                0.29833,                0.21177,                0.78743,               0.000416,               0.000416,               0.000416
                     43,                0.30038,                0.21663,                0.80562,                0.99937,                      1,                  0.995,                0.96711,                0.29549,                0.20899,                0.78672,              0.0003764,              0.0003764,              0.0003764
                     44,                0.28495,                 0.2053,                0.79177,                0.99937,                      1,                  0.995,                0.96198,                0.28708,                0.20537,                0.78367,              0.0003368,              0.0003368,              0.0003368
                     45,                0.27619,                0.20169,                0.79275,                0.99939,                      1,                  0.995,                0.96253,                0.30035,                0.20296,                0.78436,              0.0002972,              0.0002972,              0.0002972
                     46,                0.27762,                0.19605,                 0.7896,                 0.9994,                      1,                  0.995,                0.96288,                0.27978,                0.19334,                0.78315,              0.0002576,              0.0002576,              0.0002576
                     47,                0.28285,                0.20084,                0.79176,                0.99941,                      1,                  0.995,                 0.9632,                 0.2865,                0.19241,                 0.7839,               0.000218,               0.000218,               0.000218
                     48,                0.26225,                0.18977,                0.78779,                 0.9994,                      1,                  0.995,                0.96622,                0.29167,                0.19507,                0.78719,              0.0001784,              0.0001784,              0.0001784
                     49,                0.25642,                0.18011,                0.78048,                 0.9994,                      1,                  0.995,                0.96656,                  0.283,                 0.1957,                0.78173,              0.0001388,              0.0001388,              0.0001388
                     50,                0.26085,                0.18109,                0.78759,                 0.9994,                      1,                  0.995,                0.96303,                0.27826,                0.19021,                0.78102,               9.92e-05,               9.92e-05,               9.92e-05
